no,rating,text
50,1," #삼성전자이벤트참여
갤력시링 응...중국산 제품에 비교하면 그닥...
이름값을 못하는것이 아닌가...
혈압측정도 안되고 심전도 측정도 안되는...
50여 만원을 주고 구매한 보람이 없어지는 순간...
집안에 아픈사람이 있는 입장에서 나름자기 위안용 이지만  배터리 오래가는 것보고 워치대신 링으로 결정해서 사용하는데...뭐 중국산과 차별되는 기능도 딱히 월등해 보이지는 않구...
운동기능도 워치나 핏 착용하는 사람과 동일 구간을 측정했는데 거리등 위치데이터도 오차범위 정도의 오차가 아니고 삼성에서 만든 두제품이 같은 회사 제품이 맞는지 의심할 정도의 오차가 발생하는지...동일하게 운동했는데 거리가 몇 키로 미터나 차이나고...
혼란스럽네요. "
51,2,"디자인 별로임 옆에 반투명한데 지저분하게 텅텅 비어있는게 보임
속이 예쁘지도 않고 텅텅 비어있는데 왜 반투명으로 만들었는지 모르겠음"
52,1,"제품 자체는 불만 없지만, 고객경험은 최악이었습니다.
12월 4일에 주문하고 5일에 제품를 수령하여 모바일앱으로 삼성케어를 가입하려고 하니
'이 단말은 구매 후 60일이 지난 제품이라 삼성케어 가입이 불가하다'라는 어이 없는 메시지가 떴습니다.
그래서 삼성케어 측에 전화를 걸어 문제를 해결하는 데에만 두 명의 상담사를 거쳐야만 했고,
거기서 답변이 가관이더군요.
""갤럭시링 제품에서 이런 일이 처음이 아니며, 여럿 있는 일이다.""
그래요 그럴 수 있겠죠? 근데 그런 일이 있으면 더더욱 그런 일이 없도록 신경 써야 하는 거 아닐까요?
동네 슈퍼 제품도 아니고, 대기업 제품이란 게... 그런 거 하나 신경쓰지 못하고 고객경험 배려도 못하나요?
정말 그 과정이 답답하고 불쾌하기 짝이 없더군요.
바쁜 내 시간을 불필요하게 허비하게 된 것 같았습니다.
애플을 9년 넘게 쓰면서 다양한 애플 제품을 구매하며 한 번도 경험해보지 못했던 최악의 고객경험이었습니다."
53,1,"결론
불편하다. (아래 7가지 이유 적어놓음)
갤럭시 워치 7 살 걸 그랬다. 그럼 배경화면 바꾸는 재미라도 있었을 텐데...  

1. 기록이 없는 시간대가 자주 발생한다. 
갤럭시링을 착용하고 블루투스 연결된 휴대폰을 가까이 두고 걷기를 하고 있어도 10분 단위 스트레스 측정이나 심박수 측정에 들어가 보면 20~40분 정도씩 기록되지 않는 경우가 많다. 계속 착용했음에도 그래프가 중간중간 끊어져 있다. 시간 단위에서 비어있는 경우가 늘어나는 걸 자주 보니 걸음 수도 신뢰가 가지 않는다. 이걸 토대로 표시되는 에너지 점수도 신뢰가 가지 않는다. 

2. 수면을 방해하는 경우가 발생한다. 
센서가 닿는 부분에 찌릿함이 자주 느껴져 오히려 수면을 방해한다. 갤럭시 워치를 쓸 때는 이 정도로 불편하진 않았다. 갤럭시링은 가벼운 반지여서 수면 측정에 도움이 된다는 평을 보고 구입했는데 오히려 손가락에 느껴지는 찌릿함 정도가 심해서 수면 측정을 포기하게 된다. ""코골이 감지""와 ""혈중 산소""기능도 꺼둔 후에야 찌릿함이 조금 줄어들어 평상시 착용하게 된다. 

3. 착용감이 불편하다. 
중지에 착용하는 편인데 양쪽 두 손가락의 움직임을 크게 방해한다. 

4. 충전함(?) 단차가 심하다. 
한번 충전으로 오래 사용 가능하다 보니 무시했었는데 QC 이슈로 가득한 유튜브를 보고 체크해 보니 충전함(?) 위아래 단차가 심하다. 

5. 에너지 점수로 받을 수 있는 내용이 부족하다. 
에너지 점수 내용이 다양하거나 구체적이지 않고, 꼭 내 정보를 면밀히 분석해서 보여주는 내용이 아닌 그저 넓은 범위에서 보여주는 느낌이 든다. 

6. 광고를 ""봐야 하는"" 대상이 되었다. 
건강 기록을 보려고 삼성 헬스를 누르면 제일 위에 ""패럴림픽 대회 맵에 참여해 보세요.""같은 불필요한 배너가 뜨는데 이 부분은 ""홈 화면 편집""으로 순서를 바꿀 수도 없고 맨 아래로 내릴 수도 없는데 불필요한 정보만 계속 뜨는 상태로 건강 기록 확인 시 늘 봐야만 한다. 

7. 수면 코칭 기능을 쓰려면 계속 추가 수면 기록이 필요하다고 나온다. 
새벽 2시~ 아침 7시가 주 취침시간이라서 그런지 어떤 이유인지 15일간 수면기 록이 있어도 수면 코칭을 터치하면 ""수면 기록이 더 필요함""만 나온다. 결국 포기하고 걸음수 체크 용도나 심박수 체크 용도로 사용하게 된다. "
54,1,"역시 프로토타입 돈받고 파는 병은 못고치는구나..
정확히 2주만에 손바닥방향으로 향하는 부분 티타늄 다까짐. 뭐 손으로 중노동 하는 사람 아니고 평범한 사무직종사자 입니다.

배터리 1주일 기대도 하지 마세요.
3일지나면 무적권 충전해야 합니다.
그리고 전용 충전기 충전할때 발열 너무 심합니다.

불날까봐 무서워서 싱크대 위에 있는 컨센트에서 충전합니다."
55,1,"최악의 제품
기능도 심박수와 수면패턴 정도.
배터리 문제는 심각.
1주일 정도 사용한다던데
한달이 넘어가니 완충후 12시간 정도면 완전방전됨. 
이정도로 품질 구린 제품이라니.
삼성 정신차려주시길
40만원내거 쓰레기 사온 기분"
56,1,"리뷰 본문 내용 많음.

1. 착용감 나쁨
두꺼워서 일상 생활에 자주 방해가 된다.
손으로 뭔가를 드는 일이 생기면 반지를 빼야 한다. 씻을 때 빼게 된다.
그리고 자꾸 돌아가서 가끔씩 의식적으로 잘 맞는지 확인해서 돌려줘야 된다.
링2 만들게 된다면 아무 방향이라도 상관 없게 만들던가.
좌우는 얇게 만들어서 눈 감고도 손쉽게 맞추게 해달라.

2. 베터리 나쁨
이왕이면 8일 가게해서 1주일 한번 충전하게 하지 6일은 무슨 의미인지 모르겠다.
결국 6일로 사용하지는 못하고 1~3일에 한번씩 워치 처럼 충전하게 된다.

3. 정확성 나쁨
나는 잠을 하루에 2번 나눠서 자는데 합산이 안되고 수면 시간이 엉망이다. 고쳐주겠거니 했는데 1달 뒤에도 여전히 버그가 있다.

4. 실용성 나쁨
웨이트 운동 할 때는 손 써야 되서 못끼고 와치처럼 시계나 알람 기능이 있는 것도 아니니까.
결국 수면체크 전용인데 평소에는 차고 다닐 필요성 자체가 없다. 걸음 수는 휴대폰으로 충분하다.
그래서 침대에 놓고 자기 전에 차고 잔다.
와치보단 편하지만 여전히 이물감은 있어서 편하게 자고 싶을 때는 일부러 빼고 잔다."
57,3,"목각 링을 size와 실물 size 체감도는 약간 다르며, 조금 큰느낌이며,
수면 측정 기능은 좋은데, 운동 측정기능은 많이 미흡한 것 같음
수영할때 착용하고 전반적인 상태를 측정해 보고 싶어서 구입했는데....
핸드폰이 근접해 있지 않으면 측정되지 않아 많이 아쉬움"
58,3,"반지를 사용해보지않았어서 그런지ᆢ두껍고 딱딱한고정틀이 껴있다보니ᆢ젓가락질등 일상생활에서  중지와 검지를 왔다갔다하는 경향이 있습니다ㆍ
워치와 다르게 충전기간이 오래가는점이 좋았으며  핸폰없이 운동을할때 운동량이 표현되는게 좋았습니다ㆍ사진촬영기능등  다양한기능이 생기면 좋겠다는 생각이듭니다ᆢ온도ㆍ수면시간ㆍ심박수등은 초기에는 재밌긴했지만ᆢ지속되면서ᆢ개인지병으로인해 수면시 착용붋편함이 있어 착용하지않고있습니다 ㆍ위급시 핸폰이 울린다는데ᆢ위급한사람한테는 의미없으니ᆢ가족이나 가까운사람에게 위치와 문자가 전송되면 좋지않을까하는ᆢ생각이 드네요

안쪽에 삼성로고는 있지만ᆢ걷면에 걸맞는 로고도 있다면 좋을듯도ᆢ갤럭시링임이 명확히 드러나면 좋겠네요"
59,3,"갤럭시 워치와 같이 헬스 관련 정보 측정에 있어서 좋아요.

특히 수면점수가 맘에 드네요.

하지만 갤럭시 23을 써서 그런지 제스쳐 기능은 활성화가 되지 않네요.

갤럭시 워치 5 및 갤럭시 s23의 펌웨어가 업데이트가 되어서 빨리 더 많은 기능들을 쓰면 좋겠습니다. "
60,3,"가격대비 기능이 적어요..대신 가볍고 끼기전에 사이즈 키트 받아볼수있어서 구매자분들은 따로 사이즈 측정안하셔도 되고 간편하긴 합니다 개인적으로 링 위에 led 쪼그만한 시계 표시나 심박수 표시 할수있는게 나왔으면 좋겠네요..
"
61,4,"갤럭시 쓰고있다보니 연결 등은 문제가 없고 씻을 때 잠시 빼놓고 씻고 하면 피부 염증 문제도 없음
다만 생각보다 부피가 커서 근력운동이나 라이딩을 즐기는 사람에게는 꽤 불편하고 거추장스러울 수 있음"
62,4,"스마트워치가 거추장스러운 사람에게 좋은 선택지예요.
착용감이 일반 반지보다 좋아요.
혈당체크 기능, 낙상 알림이 빠진 점은 아쉽지만 간편하게 부모님 건강체크 하기 좋네요.
다만 폴드3와는 제스처 연동이 되지 않아서 기능을 이용 할 수 없어 아쉽네요.
전화 문의시 연동 가능하다고 해서 구입 했는데 안돼요.. 정확한 안내가 이뤄 졌음 좋겠어요."
63,4,"삼성헬스에서의 측정은 마음에 들지만 사이즈는 정말 고려해야 하네요.반지 치수대로 구입하면 낭패를 보는 일이 있네요.센서가 없다면 반지 치수로 구입을 하면 되지만 센서때문에 크게 구입을 해야 하네요.전 검지는 착용 불가로 약지에 착용하네요.교환을 하려면 취소하고 새로 구입을 해야 한다는 것도 아숩고요.

#삼성전자이벤트참여 #기프트펀딩"
64,4,"소재가 굉장히 맘에 듭니다. 착용감은 생각보다 불편하진 않구요.
수면측정에서 코골이가 없다 생각했는데  코골이 자동 녹음 되는게 신기했습니다.^^
좀 아쉬웠던게 저는 구매전 리빙프라자 매장에서 반지 사이즈 착용해보고 스펙 기능을 일부 안내받고 
구매고민후 삼성닷컴에서 구매했는데 매장직원이 혈압체크도 된다하셨는데 
구매해서 착용해보니 안되더라구요.ㅜㅜ
매장직원들 스펙 사항을 잘 인지하고 안내해주셨으면 합니다. 인터넷에도 잘못된 정보가 많던데
참고해주세요."
65,4,"직접 보러 삼성스토어를 차아서 사이즈 확인하고 구매하였습니다
생각보다 가벼웠고 살짝 넓은감이있습니다.
아마도 시리즈가 나오면 좀더 얇아지지 않을까? 생각됩니다. ㅎㅎ
충전케이스가 너무 이쁘네요. 
사이즈는 제가 반지 사이즈가 14호인데 링은 7호구매했습니다. 딱 맞네요.  사이즈는 고민해보세요.
일단 좀 더 써봐야할듯합니다"
66,4,"생각했던것보다 특별한 기능이 있지않다. 좋은 기능으론 수면중 몸의 변화를 알려주는 것인데 즉 수면의 충실도, 몸의 리프레쉬정도파악등이 있는데 특별히 와 닿지는 않았다. 수치화해서 굳이 알 필요가 있는 정보인가 생각든다. 가능하다면 혈압과 당의 체크기능이 더 필요하다고 생각된다. 그리고 갤폴드5와는 제스쳐기능이 안된다. 바로 시정 부탁드린다."
67,4,"제가 특히 수면이 불규칙하여 수면 분석이 필요했는데 너무나 좋네요. 스트레스지수 수면 혈중산소등 실시간 분석이 너무 유융하네요. 
골드 색상도 너무 맘에 들고 악세사리 효과도 있네요.~^^"
68,4,"1. 간변하게 착용하고 다니기가 매우 좋다
2. 운동기록이 자동으로 기록 되어 좋음
3. 에너지 점수와 수면 점수의 원인분석으로 다음 스탭 활용이 용이 하다
4. 일주일 충전수명 상품 선전은 문제 많음
5. 코팅부분의 흠집이 많이남
6. 밝은 led 는 늦은밤 눈에 선명함으로 개선 필요"
69,4,"갤럭시 핏3 구매하고 삼성헬스와 연동한 후 수면데이터를 측정했을때
데이터 결과는 마음에 들었으나 착용하고 잠 자기가 너무 불편해서
몇번 사용 안했습니다.

갤럭시링 출시하자 바로 구매했습니다.
수면 측정하기 너무 편합니다.

단점은 수면 측정이외 크게 사용 용도가 없다는 점입니다.
산책드에도 사용 가능 하다지만 핏3 나 워치를 착용하므로 중복입니다.

다른 용도의 개발 부탁드립니다.
동작을 인식한다던지 아니면 다른 헬스정보 측정하던지..
가성비가 조금 아쉽습니다."
70,4,"최근 갤럭시 링을 착용하면서 수면 분석과 운동량 분석 기능을 경험할 기회가 있었습니다. 스마트 링이라는 작은 기기로도 매우 정밀한 데이터를 수집할 수 있어 놀라웠고, 특히 일상적인 건강 관리에 큰 도움을 주었습니다.

수면 분석 기능
갤럭시 링의 수면 분석 기능은 제가 가장 인상 깊게 느낀 부분 중 하나였습니다. 수면 단계(깊은 수면, 얕은 수면, REM 수면 등)를 매우 상세하게 측정해 줍니다. 수면 중의 심박수, 호흡 패턴, 움직임 등을 통해 수면의 질을 평가하며, 수면의 각 단계를 그래프로 시각화해 쉽게 이해할 수 있었습니다.

장점
정밀한 수면 데이터 제공: 수면 단계별로 분석해주기 때문에, 내가 언제 깊은 수면에 들었는지, REM 수면이 충분했는지를 알 수 있어 수면 습관을 개선하는 데 매우 유용합니다.
수면 트렌드 분석: 매일의 수면 데이터를 장기적으로 분석해, 내가 일주일 또는 한 달 동안 어떻게 수면 패턴이 변화했는지 한눈에 파악할 수 있습니다. 이로 인해 수면 환경을 개선하거나 스트레스 관리가 필요할 때 신호를 빠르게 감지할 수 있었습니다.
개선 팁 제공: 수면 패턴에 대한 분석뿐만 아니라, 더 나은 수면을 위한 팁도 제공해 실질적으로 수면의 질을 향상시키는 데 도움이 되었습니다. 이를 통해 스트레스 해소, 일정한 수면 시간 확보 등 실제로 실천 가능한 조언을 얻을 수 있었습니다.
단점
외부 환경에 민감: 가끔 수면 중 주변 소음이나 다른 사람과의 신체 접촉에 민감하게 반응하여 정확한 분석이 어려운 경우가 있었습니다. 이러한 외부 요인들이 수면 분석에 영향을 미칠 수 있어 신뢰도가 떨어질 때도 있었습니다.
짧은 낮잠 분석의 한계: 수면 분석은 주로 야간 수면에 초점을 맞추고 있어 짧은 낮잠에 대한 분석은 세부적으로 제공되지 않았습니다. 가끔 10~20분 낮잠 후에도 회복된 느낌이 있었지만, 갤럭시 링은 이를 충분히 반영하지 못해 약간의 아쉬움이 남았습니다.
배터리 관리: 수면 분석 기능을 매일 사용하려면 배터리 관리가 필요했습니다. 특히, 수면 분석을 지속적으로 사용하면서 배터리 소모가 빠르다고 느낄 때가 있어 자주 충전해야 했습니다.
운동량 분석 기능
운동량 분석 기능도 유용했습니다. 걷기, 달리기, 심지어 일상 생활에서의 칼로리 소모까지 모두 기록해 줍니다. 걸음 수, 소모 칼로리, 운동 시간 등을 측정하며, 이를 바탕으로 하루 목표를 설정하고 달성할 수 있도록 동기부여를 해줍니다. 운동 후 심박수 변화를 추적하여 내가 얼마나 회복되었는지도 분석해 줍니다.

운동 후에 얻을 수 있는 피드백은 매우 상세했으며, 나의 신체 상태와 운동 강도를 맞추는 데 큰 도움이 되었습니다. 또한, 하루 종일 앉아있는 시간을 줄이고 활동량을 높일 수 있는 조언을 제공해주기 때문에, 평소 운동 루틴에 추가적인 동기부여를 제공해줍니다.

결론
갤럭시 링은 전반적으로 매우 유용한 헬스케어 기기입니다. 특히 수면 분석을 통해 내 수면 습관을 점검하고 개선할 수 있었으며, 운동량 분석 기능을 통해 건강한 생활 습관을 유지하는 데 큰 도움을 받았습니다. 다만, 수면 분석에서 외부 요인에 대한 민감도나 낮잠 분석의 한계 같은 몇 가지 개선점이 있지만, 전반적으로 일상적인 건강 관리에 있어 매우 유익한 도구였습니다."
71,4,"다양한 기능은 없지만 휴대폰과 연결이 좋고 기록도 비교적 정확해서 마음에 듭니다 
 크기가  조금 두꺼워서 투박하지만 색상이 은은하니  괜찮네요
기능이  더  다양해지면 좋겠고 작은 글씨라도 시계를 볼수  있으면  좋겠습니다 
걸음수도 볼수 있으면 좋겠네요"
72,4,"건강관리에 많은 도움이 되는듯요 워치처럼 잘때 불편하게 차지 않아도 되고 그냥 일상에 있는듯 없는듯 착용하는게 가장 큰 장점인듯 합니다. 심박수체크,수면상태등 여러가지 유용하게 쓰고있고 배터리도 5~6일은 가는듯 하네요."
73,4,"갤럭시 워치를 차고 있으나 밤에는 충전 때문에 수면 관리는 꿈도 못꾸고 있어서 이 기회에 갤럭시 링을 끼고 워치에서 
벗어나고자 구입했는데 착용감은 괜찮습니다만. 기능이 생각보다 적어요. 그리고 내가 착각한게  걸음수나 이런거는 안되는거 같습니다. 그저 수면과 심장박동정도? 이 가격이면 당요를 측정 해주던지 혈압을 측정 해주던지 좀 더 기능이  많아야 돈이 안 아까울듯 합니다.  후회도 되네요 다시 워치로 가고 밤에만 착용해야 하는지 갈등 중입니다
#삼성전자 이벤트 참여"
74,4,"두 번째 손가락에 착용했는데 젓가락질 할 때 볼드한 링이라서 불편하지만, 그 외는 좋습니다. 
제가 구입한 이유는 왜 매일 피곤한지 몰라서 혹시나 하고 구입하게 되었습니다. 병원에서 호르몬부터 온갖 검사를 다 해도 피곤의 이유를 모르고 별 내용이 없어 답답했습니다. 그러나 링 데이터를 보니 수면 질 부터 에너지, 심박수 등 헬스 앱과 연동이 돼 누적 데이터를 보니 이유를 알게 돼 병원 검사보다 낫다는 생각이 많이 듭니다. 매일 체크하면서 건강관리에 최고입니다. 
혈압관리도 할 수 있게 업데이트 빨리 해주세요~"
75,5,"주문한지 하루만에 배송이 왔습니다! 빠르네요ㅎㅎ
사이즈는 삼성전자스토어에서 미리 착용해봤었기에 사이즈키트 선택없이 바로 실물 받았습니다!
8호는 조금 빡빡하게 맞는것같아서 살짝 넉넉하게 9호 했는데 사이즈키트로 사이즈 찾아보시거나 스토어 가셔서 착용해보고 구매하시길 추천드립니다!
받자마자 페어링이랑 착용만 해보고 후기 남기는거라 기능이랑 성능은 잘 모르겠지만 일단 저는 만족합니다!
다들 삼성하십쇼!!
"
76,5,"제품받아보고 제일해보고싶었던 수면측정 부분에서 생각보다 정확하고 다양한정보를 제공해주어 매우 만족하며 사용하고 있습니다
추후 결제기능 이외의 다양한 기능적 발전이 있길 소망합니다. 감사합니다"
77,5,갤럭시 링이 처음 나와서 기대를 했다 오프라인 매장에 가서 사이즈 착용을 해보고 내 사이즈에 맞는걸로 빠르게 주문할수 있었다 실제로 받아보니 꽤 마음에 들고 괜찮았다 매일껴야지~~ ㅎ
78,5,"건강 헬스 케어 용도로 괜찮을거 같다고 생각되어 구매했습니다.

일단 너무 가볍습니다. 착용감이 정말 좋아요 거슬릴줄알았는데 생각보다 낀듯안낀듯 한 느낌이라 좋았어요

수면 패턴을 알아보기위해 착용하고 잠을 자봤는데 불편함이 없었습니다.
(다만 어두운곳에서는 손가락에서 초록 빛이 미세하게 들어오는게 보이는데 크게 신경 안쓰입니다)

수면패턴도 생각보다 정확하게 파악을해서 놀랬습니다 (5시쯤 화장실가느라 한번 일어났는데 그 시간을 정확하게 파악하더라구요.)

다만 한가지 단점이라면 웨이트 운동을 할때는 못끼겠더라구요 쇠를 들어야되는데 거슬리기도하고 스크레치가 날거 같아서 한번 해보고 그냥 워치만 차고 운동합니다.

유산소할때는 끼고있으셔도 크게 상관이 없습니다.

건강에 관심이 많으신분들은 유용하게 잘쓰실거같아요!"
79,5,"#삼성전자이벤트참여
이뻐요 블랙이 고급스럽습니다. 검지에 살짝 10호가 큰데 9호는 작을것 같네요

이 작은 링이 헬스 연동이 되서 내 건강을 체크해 
준다는게 신기하네요

우아함 그 자체입니다. 고급스럽네요 충전기도 너무 좋아요 번창하셔요"
80,5,"이번 갤럭시 신제품 가장 기대하던 갤럭시 링 을 구매하여 
몇일 사용중 입니다 .가볍고 블랙을 좋아하는 저에겐  너무 만족하며 운동중에도 일상 수면중에도 사용할수있는 진정힌 웨어러블 헬스케어가 실행되는 아이템이라 만족합니다. 저는 수영 10년차인데 수영은 자동운동인식이 안되는것음 조금 아쉽네요 . 개인적인 수영러 생각입니당 
수영장에서도워치안차고 수영하니까 손목도 훤씬 편하고 타인에게 찰과상 생길 남길염려가 줄어 좋더라구요
향후 업데이터로 인식 기능이 생겼으면 좋겠습니다  "
81,5,"건강에 한창 관심이 많아질 나이 
30대 중반을 지난 때이다
코로나 팬데믹 이후 건강이란 키워드는 우리의 삶에서 뗄레야 뗄 수 없는 대상이, 그런 존재가 되었다. 그러한 시점과 이러한 상황에서 시의적절하게 삼성에서 야심차게 준비하고 출시한 제품이 있었으니 그건 바로 '갤럭시 링' 이 되겠다.

크기와 디자인 심플하면서도 묵직하이 남성의 소유 본능을 자극하며 무엇보다 서듀의 '건강' 을 24시간 밀착 체크해준다는 점에서 굉장히 중요하고 혁신적인 상품이 되겠다.

한달 후기에서 다시 찾아뵐 수 있길.

#삼성전자이벤트참여"
